name,code,club_code,old_bps,new_bps,bps_change,old_bonus,new_bonus,bonus_change,old_points,new_points
Nwaneri,499175,3,3,4,1,0,0,0,1,1
Casey,518438,21,3,3,0,0,0,0,1,1
Orford,518442,21,0,0,0,0,0,0,0,0
Scarles,536109,21,0,0,0,0,0,0,0,0
Marshall,565431,21,0,0,0,0,0,0,0,0
Drăgușin,493125,6,82,58,-24,0,0,0,14,14
Mosquera,501837,39,0,0,0,0,0,0,0,0
Peupion,491598,36,0,0,0,0,0,0,0,0
Griffiths,449133,39,0,0,0,0,0,0,0,0
Gardner,536681,17,0,0,0,0,0,0,0,0
Osong,536677,17,0,0,0,0,0,0,0,0
McDonnell,524070,17,0,0,0,0,0,0,0,0
Gordon,496185,14,3,3,0,0,0,0,1,1
Beck,430992,14,2,2,0,0,0,0,1,1
Wright,481283,7,0,0,0,0,0,0,0,0
Grbić,173268,49,149,51,-98,0,0,0,15,15
Casadei,505187,8,38,39,1,0,0,0,11,11
N.Lemina,550833,39,0,0,0,0,0,0,0,0
Fredrick,612534,94,0,0,0,0,0,0,0,0
Valdimarsson,507433,94,0,0,0,0,0,0,0,0
Kinsey,496683,91,0,0,0,0,0,0,0,0
Faivre,441240,91,9,13,4,0,0,0,4,4
Hernes,592436,4,0,0,0,0,0,0,0,0
Kesler-Hayden,465390,7,9,9,0,0,0,0,3,3
White,461484,4,9,9,0,0,0,0,3,3
Sekularac,511504,54,0,0,0,0,0,0,0,0
Rogers,244850,7,114,133,19,0,0,0,35,35
Reyna,427420,17,44,50,6,0,0,0,13,13
Ribeiro,551232,17,9,9,0,0,0,0,4,4
Hashioka,209293,102,72,-6,-78,0,0,0,4,4
Estève,477717,90,157,61,-96,0,0,0,15,15
King,577725,54,0,0,0,0,0,0,0,0
Sadi,550596,91,3,3,0,0,0,0,1,1
Wright,516250,43,0,0,0,0,0,0,0,0
Mrozek,518199,14,0,0,0,0,0,0,0,0
Koumas,514514,14,0,0,0,0,0,0,0,0
Bandeira,504751,3,0,0,0,0,0,0,0,0
Barco,543158,36,33,8,-25,0,0,0,5,5
Blacker,591539,49,0,0,0,0,0,0,0,0
Arblaster,532372,49,131,145,14,0,0,0,19,19
Harrison,597983,8,0,0,0,0,0,0,0,0
Samuels-Smith,536238,8,0,0,0,0,0,0,0,0
Danns,500058,14,1,1,0,0,0,0,1,1
Sweet,503308,3,0,0,0,0,0,0,0,0
Gauci,462492,7,0,0,0,0,0,0,0,0
Umeh-Chibueze,574398,31,0,0,0,0,0,0,0,0
Curtis,549344,49,2,2,0,0,0,0,1,1
Sasnauskas,616094,49,0,0,0,0,0,0,0,0
Collyer,490881,1,0,0,0,0,0,0,0,0
Earthy,490885,21,27,29,2,0,0,0,8,8
Kinsey,496683,91,0,0,0,0,0,0,0,0
Rodney,530318,31,0,0,0,0,0,0,0,0
Tauriainen,514277,8,3,3,0,0,0,0,1,1
Ogunneye,519325,1,0,0,0,0,0,0,0,0
Okoduwa,613467,39,0,0,0,0,0,0,0,0
Piesold,547668,102,0,0,0,0,0,0,0,0
